Wijk,Gem HR 1,rrData 1,Gem HR 2,rrData 2,Bloeddruk (Bovendruk) 1,Bloeddruk (Bovendruk) 2,Cholesterol 1,Cholesterol 2,Non-HDL 1,Non-HDL 2,Bloedsuiker 1,Bloedsuiker 2,BMI 1,BMI 2
Sloterdijk Nieuw-West,68.6,898,63.8,792,<120,120-140,5-6.5,<5,<3.8,<3.8,<7.8,7.8-11,25-30,18.5-25
,67.1,945,64.1,792,,,,,,,,,,
,67.1,562,65,824,,,,,,,,,,
,67.1,1906,66.700005,848,,,,,,,,,,
,67.700005,867,68.3,832,,,,,,,,,,
,67.700005,546,69.9,816,,,,,,,,,,
,67.700005,1226,70.200005,848,,,,,,,,,,
,67.700005,703,69.6,880,,,,,,,,,,
,67.700005,1664,69.200005,880,,,,,,,,,,
,67.700005,1765,69.5,856,,,,,,,,,,
,67.700005,2664,69.3,872,,,,,,,,,,
,67.700005,1804,68.6,896,,,,,,,,,,
,67.700005,2367,68.3,888,,,,,,,,,,
,67.700005,601,69.1,848,,,,,,,,,,
,67.700005,1632,70,832,,,,,,,,,,
,67.8,882,70.4,840,,,,,,,,,,
,67.8,539,70.5,848,,,,,,,,,,
,67.8,1679,71,832,,,,,,,,,,
,68.8,843,72,808,,,,,,,,,,
,68.8,4695,72.5,816,,,,,,,,,,
,68.8,4062,72.200005,840,,,,,,,,,,
,67.4,937,71.6,856,,,,,,,,,,
,67.4,570,72,824,,,,,,,,,,
,67.4,3328,72.700005,808,,,,,,,,,,
,69.1,820,72.700005,824,,,,,,,,,,
,67.9,921,72.9,816,,,,,,,,,,
,68.5,859,72.700005,832,,,,,,,,,,
,68.5,3148,73.8,784,,,,,,,,,,
,68.5,3046,74.9,776,,,,,,,,,,
,69.700005,828,75.200005,792,,,,,,,,,,
,70.3,781,74.700005,816,,,,,,,,,,
,70.3,2070,73.700005,840,,,,,,,,,,
,70.8,640,73.9,808,,,,,,,,,,
,70.8,2015,74.200005,800,,,,,,,,,,
,70.3,945,73.8,824,,,,,,,,,,
,70.3,3578,73.5,824,,,,,,,,,,
,70.3,3664,73.3,824,,,,,,,,,,
,70.3,3054,74.5,776,,,,,,,,,,
,70,578,75.3,720,,,,,,,,,,
,70,3898,76.6,704,,,,,,,,,,
,70,3210,78.200005,688,,,,,,,,,,
,70,2796,80.3,704,,,,,,,,,,
,70,3437,82.700005,680,,,,,,,,,,
,69.8,1664,84.4,680,,,,,,,,,,
,69.8,3773,84.6,704,,,,,,,,,,
,69.8,3007,84.200005,720,,,,,,,,,,
,68.4,921,83.700005,728,,,,,,,,,,
,68.3,710,83.3,728,,,,,,,,,,
,68.200005,1437,82.8,736,,,,,,,,,,
,68.1,1453,84.1,688,,,,,,,,,,
,68.1,3078,84.200005,712,,,,,,,,,,
,68.1,625,83.9,720,,,,,,,,,,
,68.1,3421,83.4,728,,,,,,,,,,
,68.1,3226,83.4,328,,,,,,,,,,
,68.1,3015,83.4,376,,,,,,,,,,
,67,929,84.5,688,,,,,,,,,,
,67,2414,84.4,712,,,,,,,,,,
,,,84.1,720,,,,,,,,,,
,,,84.1,296,,,,,,,,,,
,,,84.1,376,,,,,,,,,,
,,,82.3,768,,,,,,,,,,
,,,83.200005,704,,,,,,,,,,
,,,83.200005,720,,,,,,,,,,
,,,82.4,744,,,,,,,,,,
,,,81.9,744,,,,,,,,,,
,,,81,760,,,,,,,,,,
,,,82.6,696,,,,,,,,,,
,,,82,744,,,,,,,,,,
,,,82.4,720,,,,,,,,,,
,,,82.4,728,,,,,,,,,,
,,,81.9,744,,,,,,,,,,
,,,81.8,736,,,,,,,,,,
,,,82.8,704,,,,,,,,,,
,,,82.4,736,,,,,,,,,,
,,,82.4,728,,,,,,,,,,
,,,82.700005,720,,,,,,,,,,
,,,81.3,768,,,,,,,,,,
,,,81.3,496,,,,,,,,,,
,,,81.3,280,,,,,,,,,,
,,,83.1,688,,,,,,,,,,
,,,82.9,728,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"Geuzenveld, Slotermeer",83.1,1608,86.8,688,<120,<120,<5,5-6.5,>3.8,>3.8,<7.8,<7.8,18.5-25,25-30
,83.1,3512,87.200005,680,,,,,,,,,,
,83.4,936,87.5,680,,,,,,,,,,
,83.6,904,87.1,696,,,,,,,,,,
,83.6,2656,86.8,696,,,,,,,,,,
,83.6,2576,86.9,688,,,,,,,,,,
,83.6,4176,87.3,680,,,,,,,,,,
,83.8,872,86.700005,704,,,,,,,,,,
,83.9,840,86.5,696,,,,,,,,,,
,84,832,86.4,696,,,,,,,,,,
,84,896,86.3,696,,,,,,,,,,
,84,1696,86.3,696,,,,,,,,,,
,84,872,86,704,,,,,,,,,,
,84,872,85.5,712,,,,,,,,,,
,84,3400,85.1,712,,,,,,,,,,
,84,1664,85.1,704,,,,,,,,,,
,84,1736,84.9,712,,,,,,,,,,
,84,840,84.700005,712,,,,,,,,,,
,84,904,84.3,720,,,,,,,,,,
,84,2504,84.3,712,,,,,,,,,,
,84,880,84.3,712,,,,,,,,,,
,,,83.5,736,,,,,,,,,,
,,,82.9,736,,,,,,,,,,
,,,82.200005,744,,,,,,,,,,
,,,82.8,712,,,,,,,,,,
,,,82.700005,728,,,,,,,,,,
,,,82.3,736,,,,,,,,,,
,,,82.1,736,,,,,,,,,,
,,,81.9,736,,,,,,,,,,
,,,81.8,736,,,,,,,,,,
,,,82,728,,,,,,,,,,
,,,81.6,744,,,,,,,,,,
,,,81.3,744,,,,,,,,,,
,,,81.4,736,,,,,,,,,,
,,,81.4,736,,,,,,,,,,
,,,81.4,736,,,,,,,,,,
,,,81.200005,744,,,,,,,,,,
,,,80.5,760,,,,,,,,,,
,,,80.5,744,,,,,,,,,,
