key,Nederlands,English,العربية,Français,Español,Deutsch,Português (Brasil),Русский,中文,日本語,한국어,हिंदी,বাংলা,Bahasa Indonesia
ex sdnn_1,sdnn 1,sdnn 1,sdnn 1,sdnn 1,sdnn 1,sdnn 1,sdnn 1,sdnn 1,sdnn 1,sdnn 1,sdnn 1,sdnn 1,sdnn 1,sdnn 1
ex rmssd_1,rmssd 1,rmssd 1,rmssd 1,rmssd 1,rmssd 1,rmssd 1,rmssd 1,rmssd 1,rmssd 1,rmssd 1,rmssd 1,rmssd 1,rmssd 1,rmssd 1
ex nn50_1,nn50 1,nn50 1,nn50 1,nn50 1,nn50 1,nn50 1,nn50 1,nn50 1,nn50 1,nn50 1,nn50 1,nn50 1,nn50 1,nn50 1
ex pnn50_1,pnn50 1,pnn50 1,pnn50 1,pnn50 1,pnn50 1,pnn50 1,pnn50 1,pnn50 1,pnn50 1,pnn50 1,pnn50 1,pnn50 1,pnn50 1,pnn50 1
ex sdnn_2,sdnn 2,sdnn 2,sdnn 2,sdnn 2,sdnn 2,sdnn 2,sdnn 2,sdnn 2,sdnn 2,sdnn 2,sdnn 2,sdnn 2,sdnn 2,sdnn 2
ex rmssd_2,rmssd 2,rmssd 2,rmssd 2,rmssd 2,rmssd 2,rmssd 2,rmssd 2,rmssd 2,rmssd 2,rmssd 2,rmssd 2,rmssd 2,rmssd 2,rmssd 2
ex nn50_2,nn50 2,nn50 2,nn50 2,nn50 2,nn50 2,nn50 2,nn50 2,nn50 2,nn50 2,nn50 2,nn50 2,nn50 2,nn50 2,nn50 2
ex pnn50_2,pnn50 2,pnn50 2,pnn50 2,pnn50 2,pnn50 2,pnn50 2,pnn50 2,pnn50 2,pnn50 2,pnn50 2,pnn50 2,pnn50 2,pnn50 2,pnn50 2
ex HR1,Hartslag 1,Heart rate 1,معدل ضربات القلب 1,Fréquence cardiaque 1,Frecuencia cardíaca 1,Herzfrequenz 1,Frequência cardíaca 1,Частота сердечных сокращений 1,心率1,心拍数1,심박수 1,हृदय गति 1,হৃদস্পন্দন 1,Denyut Jantung 1
ex HR2,Hartslag 2,Heart rate 2,معدل ضربات القلب 2,Fréquence cardiaque 2,Frecuencia cardíaca 2,Herzfrequenz 2,Frequência cardíaca 2,Частота сердечных сокращений 2,心率2,心拍数2,심박수 2,हृदय गति 2,হৃদস্পন্দন 2,Denyut Jantung 2
ex MinHR1,Laagst gemeten hartslag 1,Lowest measured heart rate 1,أدنى معدل ضربات القلب المقاس 1,Fréquence cardiaque la plus basse mesurée 1,Frecuencia cardíaca más baja medida 1,Niedrigste gemessene Herzfrequenz 1,Frequência cardíaca mais baixa medida 1,Минимальная измеренная частота сердечных сокращений 1,最低测得心率1,測定された最低心拍数1,측정된 최저 심박수 1,न्यूनतम मापी गई हृदय गति 1,সর্বনিম্ন মাপা হৃদস্পন্দন 1,Denyut Jantung Terendah 1
ex MinHR2,Laagst gemeten hartslag 2,Lowest measured heart rate 2,أدنى معدل ضربات القلب المقاس 2,Fréquence cardiaque la plus basse mesurée 2,Frecuencia cardíaca más baja medida 2,Niedrigste gemessene Herzfrequenz 2,Frequência cardíaca mais baixa medida 2,Минимальная измеренная частота сердечных сокращений 2,最低测得心率2,測定された最低心拍数2,측정된 최저 심박수 2,न्यूनतम मापी गई हृदय गति 2,সর্বনিম্ন মাপা হৃদস্পন্দন 2,Denyut Jantung Terendah 2
ex MaxHR1,Hoogst gemeten hartslag 1,Highest measured heart rate 1,أعلى معدل ضربات القلب المقاس 1,Fréquence cardiaque la plus élevée mesurée 1,Frecuencia cardíaca más alta medida 1,Höchste gemessene Herzfrequenz 1,Frequência cardíaca mais alta medida 1,Максимальная измеренная частота сердечных сокращений 1,最高测得心率1,測定された最高心拍数1,측정된 최고 심박수 1,अधिकतम मापी गई हृदय गति 1,সর্বোচ্চ মাপা হৃদস্পন্দন 1,Denyut Jantung Tertinggi 1
ex MaxHR2,Hoogst gemeten hartslag 2,Highest measured heart rate 2,أعلى معدل ضربات القلب المقاس 2,Fréquence cardiaque la plus élevée mesurée 2,Frecuencia cardíaca más alta medida 2,Höchste gemessene Herzfrequenz 2,Frequência cardíaca mais alta medida 2,Максимальная измеренная частота сердечных сокращений 2,最高测得心率2,測定された最高心拍数2,측정된 최고 심박수 2,अधिकतम मापी गई हृदय गति 2,সর্বোচ্চ মাপা হৃদস্পন্দন 2,Denyut Jantung Tertinggi 2
ex STDHR1,Standaarddeviatie hartslag 1,STD heart rate 1,الانحراف المعياري لمعدل ضربات القلب 1,Écart-type de la fréquence cardiaque 1,Desviación estándar de la frecuencia cardíaca 1,Standardabweichung der Herzfrequenz 1,Desvio padrão da frequência cardíaca 1,Стандартное отклонение частоты сердечных сокращений 1,心率标准差1,心拍数の標準偏差1,심박수 표준편차 1,हृदय गति का मानक विचलन 1,হৃদস্পন্দনের মানক বিচ্যুতি 1,Deviasi Standar Denyut Jantung 1
ex STDHR2,Standaarddeviatie hartslag 2,STD heart rate 2,الانحراف المعياري لمعدل ضربات القلب 2,Écart-type de la fréquence cardiaque 2,Desviación estándar de la frecuencia cardíaca 2,Standardabweichung der Herzfrequenz 2,Desvio padrão da frequência cardíaca 2,Стандартное отклонение частоты сердечных сокращений 2,心率标准差2,心拍数の標準偏差2,심박수 표준편차 2,हृदय गति का मानक विचलन 2,হৃদস্পন্দনের মানক বিচ্যুতি 2,Deviasi Standar Denyut Jantung 2
ex HR Diff,Hartslagverschil,Heart rate Difference,فرق معدل ضربات القلب,Différence de fréquence cardiaque,Diferencia de frecuencia cardíaca,Herzfrequenzdifferenz,Diferença da frequência cardíaca,Разница частоты сердечных сокращений,心率差,心拍数の差,심박수 차이,हृदय गति का अंतर,হৃদস্পন্দনের পার্থক্য,Perbedaan Denyut Jantung
ex mvc bd1,Bloeddruk 1,Bloodpressure 1,ضغط الدم 1,Tension artérielle 1,Presión arterial 1,Blutdruck 1,Pressão arterial 1,Артериальное давление 1,血压1,血圧1,혈압 1,रक्तचाप 1,রক্তচাপ 1,Tekanan Darah 1
ex mvc bd2,Bloeddruk 2,Bloodpressure 2,ضغط الدم 2,Tension artérielle 2,Presión arterial 2,Blutdruck 2,Pressão arterial 2,Артериальное давление 2,血压2,血圧2,혈압 2,रक्तचाप 2,রক্তচাপ 2,Tekanan Darah 2
